test_year,stock_name,return
2004,豐興         ,-30.3218
2004,東元         ,-8.1181
2004,友訊         ,18.3864
2004,欣興         ,119.2547
2004,東陽         ,-14.1364
2004,可成         ,251.7606
2004,年興         ,-25.4452
2004,創見         ,9.1756
2004,飛瑞         ,0.33256
2004,遠百         ,15.8106
2004,金寶         ,11.122
2004,瑞儀         ,29.9543
2004,正崴         ,84.6761
2004,綠點         ,10.1994
2004,中保         ,38.4021
2004,新興         ,-9.8821
2004,精英         ,17.0083
2004,巨大         ,23.0231
2004,億豐         ,0.23357
2004,統一實       ,-22.585
2004,中光電       ,77.3075
2004,豐泰         ,13.1391
2004,緯創         ,174.1789
2004,帝寶         ,30.991
2004,奇景         ,-100.0
2004,長興         ,36.2832
2004,康舒         ,-30.6508
2004,中石化       ,9.366
2004,新纖         ,-27.2515
2004,潤泰全       ,-19.4196
2004,健鼎         ,154.7234
2004,元太         ,-28.5369
2004,景碩         ,163.1637
2004,思源         ,-7.2539
2004,三陽         ,-2.5048
2004,嘉泥         ,-16.8135
2004,精碟         ,-65.0972
2004,全家         ,10.4011
2004,國產         ,0.13774
2004,鑽全         ,15.4866
2004,台聚         ,-20.6311
2004,建大         ,-30.9904
2004,台航         ,-27.7072
2004,聯成         ,-7.909
2004,春源         ,-20.6573
2004,華宇         ,-3.0818
2004,中碳         ,-3.655
2004,京城         ,-8.3615
2004,信義         ,-1.9662
2004,中工         ,-29.0844
2004,聲寶         ,-36.1188
2004,智邦         ,16.7751
2004,茂迪         ,285.061
2004,敦南         ,51.0349
2004,環電         ,12.6812
2004,福聚         ,-27.3056
2004,太子         ,-11.2971
2004,新光鋼       ,-62.1876
2004,晶華         ,75.3394
2004,特力         ,33.5075
2004,四維航       ,-7.3838
2004,永大         ,14.1358
2004,亞翔         ,25.3157
2004,永信         ,6.5078
2004,宏普         ,-12.4294
2004,成霖         ,-11.8926
2004,榮化         ,66.6667
2004,全國         ,12.6509
2004,華立         ,74.4708
2004,興富發       ,13.2154
2005,台積電       ,17.4271
2005,聯發科       ,1.2951
2005,華碩         ,-0.019776
2005,廣達         ,39.1516
2005,遠傳         ,8.0546
2005,台灣大       ,28.2123
2005,日月光       ,22.9409
2005,力晶         ,9.7981
2005,光寶科       ,5.9876
2005,仁寶         ,6.8004
2005,可成         ,69.8244
2005,台泥         ,35.8857
2005,大立光       ,29.9194
2005,神達         ,-7.6992
2005,統一         ,113.7255
2005,裕隆         ,17.7864
2005,欣興         ,3.9943
2005,和泰         ,-0.064298
2005,力成         ,52.9836
2005,世界         ,5.8665
2005,台肥         ,69.7464
2005,裕日車       ,-19.2468
2005,正崴         ,23.2572
2005,玉晶光       ,-64.6585
2005,建興電       ,-19.1768
2005,中光電       ,-1.4257
2005,普立爾       ,-100.0
2005,錸德         ,-12.8134
2005,威力盟       ,-23.9283
2005,廣宇         ,118.3642
2005,巨大         ,-10.4079
2005,帝寶         ,-16.6192
2005,智原         ,58.2566
2005,精成科       ,-0.8813
2005,敦南         ,1.8403
2005,頎邦         ,-39.6236
2005,晶華         ,59.3411
2005,豐興         ,84.7247
2005,美律         ,2.9181
2005,輔祥         ,-32.9872
2005,威剛         ,83.6477
2005,川湖         ,3.9142
2005,智邦         ,8.9164
2005,建漢         ,109.0695
2005,新日興       ,90.2066
2005,廣明         ,41.8432
