證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
3231,緯創         ,200412,14429,8.83,0.0740895768609269,0.53193,0.068238,-0.019863,-0.054268,0.0051398,-0.0070548,1.7321,120.75,64.49,10.78,13.3,74.39,-163.44,174.1789,1,2004,1.0,2003,2004,1,7
3139,D 台固       ,200412,27558,3.64,0.848709226458282,0.32852,1.957,0.03851,0.050531,0.18827,0.3026,0.31217,243.17,229.46,6.49,9.23,121.16,71.58,12.0879,-1,2004,1.0,2003,2004,1,8
2391,合勤         ,200412,27959,46.1,0.766681998621487,2.0434,1.3923,0.18867,0.23143,0.15723,0.16002,0.22666,413.04,294.12,4.91,8.43,38.46,30.9,-0.5423,-1,2004,1.0,2003,2004,1,9
2395,研華         ,200412,28820,46.17,0.00457962394732347,2.2391,1.2911,0.20043,0.26733,0.19923,0.16141,0.33378,331.47,245.12,4.88,8.2,27.32,99.48,34.0048,1,2004,1.0,2003,2004,1,10
20052330,台積電       ,200512,1545626,44.93,0.672270237457429,2.4906,4.164,0.18012,0.2097,0.34126,0.35104,0.1642,604.33,520.92,8.91,8.08,2.81,1.41,17.4271,-1,2005,1.0,2004,2005,1,1
3035,智原         ,200512,16797,39.12,0.0886658400322831,2.3652,1.8306,0.22414,0.31017,0.22856,0.24001,0.38383,236.16,213.02,9.37,5.88,9.07,11.42,58.2566,1,2005,1.0,2004,2005,1,2
2101,南港         ,200512,11097,15.32,0.53234993499891,0.59288,0.40444,0.10187,0.20947,0.16139,0.14288,1.0562,71.95,25.7,6.25,14.68,30.13,47.44,74.6736,1,2005,1.0,2004,2005,1,3
6605,帝寶         ,200512,17688,91.34,0.850357337374621,2.5344,1.7767,0.17057,0.28715,0.25668,0.20267,0.6835,133.51,78.51,4.1,6.32,5.8,11.77,-16.6192,-1,2005,1.0,2004,2005,1,4
2368,金像電       ,200512,9031,14.18,0.678941008977033,0.93045,0.58985,0.064428,0.14526,0.11243,0.092076,1.2546,121.52,101.06,11.42,2.53,14.61,13.3,37.5882,1,2005,1.0,2004,2005,1,5
1560,中砂         ,200512,9038,55.98,0.962403939711971,1.7885,2.525,0.070547,0.13188,0.16183,0.18622,0.86942,112.82,57.89,2.83,4.09,-9.66,12.4,99.0711,1,2005,1.0,2004,2005,1,6
