證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用模型,特徵選擇方法,排名
1503,士電         ,200112,8387,12.28,0.359606317972236,0.71478,0.66235,0.019692,0.034763,0.061939,0.032222,0.76534,136.67,88.81,4.07,3.0,-25.17,-39.05,7.329,1,2001,0.9999999998845226,2000,2001,NaiveBayes,mutual_info,6
3046,建碁         ,200112,19041,98.76,0.772722130862935,4.3297,1.0348,0.10293,0.2133,0.052982,0.053241,1.0722,163.24,113.84,7.45,9.84,12.36,25.68,-38.1733,-1,2001,0.9999999997407087,2000,2001,NaiveBayes,mutual_info,7
2311,日月光       ,200112,105781,16.54,0.234826914747904,1.2832,1.4029,-0.020148,-0.039606,-0.012044,-0.055834,0.96578,139.4,110.48,10.96,4.68,-104.68,-139.94,-37.243,-1,2001,0.9999999869603258,2000,2001,NaiveBayes,mutual_info,8
2405,浩鑫         ,200112,5104,21.59,0.816140102875323,1.4065,0.65663,-0.055909,-0.099848,-0.076026,-0.046614,0.7859,186.77,116.64,7.67,7.34,-289.7,-538.88,-38.0732,-1,2001,0.9999999743797975,2000,2001,NaiveBayes,mutual_info,9
2313,華通         ,200112,42078,46.69,0.237373019705579,2.2556,1.986,0.030737,0.060202,0.075401,0.053008,0.95862,138.8,100.27,5.58,4.56,-62.87,-67.96,-62.0047,-1,2001,0.9999984565059964,2000,2001,NaiveBayes,mutual_info,10
20022330,台積電       ,200212,793334,22.0,0.631188734269011,1.4455,2.6961,0.055334,0.07302,0.19463,0.13315,0.31963,257.43,212.61,10.46,9.64,147.22,48.59,62.0455,1,2002,1.0,2001,2002,RandomForest,f_classif,1
2201,裕隆         ,200212,72982,28.54,0.176855057625303,1.2512,1.2474,0.071528,0.12644,0.041699,0.13217,0.76775,162.24,137.15,9.02,2.61,-45.31,62.9,5.9215,-1,2002,1.0,2001,2002,RandomForest,f_classif,2
2317,鴻海         ,200212,247787,31.46,0.224171498983127,0.93298,0.25198,0.12786,0.24252,0.074391,0.065509,0.89672,156.38,125.04,15.6,6.47,35.22,30.86,36.8722,1,2002,1.0,2001,2002,RandomForest,f_classif,3
2353,宏碁         ,200212,64018,15.21,0.373563807642645,0.42785,0.26457,0.078762,0.12763,0.0016569,0.080558,0.62043,173.55,142.47,10.53,4.88,105.14,1453.22,86.3248,1,2002,0.9992156862745099,2001,2002,RandomForest,f_classif,4
2301,光寶科       ,200212,74659,22.82,0.571025872824379,1.0396,0.40728,0.056491,0.11477,0.062277,0.049143,1.0317,143.21,107.14,8.33,6.65,89.92,120.36,11.8755,-1,2002,0.98,2001,2002,RandomForest,f_classif,5
1304,台聚         ,200212,7482,5.78,0.501282913203215,0.49571,0.76253,0.00091426,0.0017296,0.029928,0.0029328,0.89182,109.7,76.64,7.65,11.15,16.56,95.85,38.2353,1,2002,0.98,2001,2002,RandomForest,f_classif,6
2325,矽品         ,200212,31859,8.6,0.98610424189597,0.60014,0.70434,0.0091962,0.016242,0.024516,0.019068,0.76617,216.78,174.89,14.56,5.48,7871.91,135.46,105.814,1,2002,0.98,2001,2002,RandomForest,f_classif,7
2610,華航         ,200212,37757,15.0,0.745847484342721,0.81037,0.48031,0.019055,0.066672,0.066834,0.039518,2.499,55.71,29.54,0.0,15.2,58.99,74.75,9.1333,-1,2002,0.98,2001,2002,RandomForest,f_classif,8
2618,長榮航       ,200212,35526,20.98,0.275069755821935,1.4519,0.78783,0.022833,0.075258,0.078318,0.040842,2.296,78.15,44.04,0.0,10.5,1438.52,183.08,-2.3832,-1,2002,0.9792156862745098,2001,2002,RandomForest,f_classif,9
2347,聯強         ,200212,34655,19.24,0.451638770451973,0.72385,0.14807,0.075978,0.14083,0.023252,0.02906,0.8536,167.2,108.59,11.77,8.95,19.54,70.73,0.0,-1,2002,0.9792156862745098,2001,2002,RandomForest,f_classif,10
9904,寶成         ,200312,67852,17.09,0.348007659716113,0.95422,0.28646,0.047147,0.10129,0.093323,0.059634,1.1484,200.85,137.3,10.02,12.74,5386.69,198.57,-10.3569,-1,2003,0.9574382284382285,2002,2003,RandomForest,f_classif,1
2412,中華電       ,200312,475632,27.71,0.489594338723354,0.75381,1.4922,0.10525,0.13676,0.32561,0.27073,0.29943,43.46,27.81,76.14,12.05,5.26,12.2,37.4594,1,2003,0.9185558754970521,2002,2003,RandomForest,f_classif,2
3007,綠點         ,200312,10578,44.14,0.574737160856408,1.6246,0.7702,0.14916,0.29908,0.19435,0.14177,1.0051,312.74,258.7,7.8,5.19,125.88,111.46,57.9293,1,2003,0.910984126984127,2002,2003,RandomForest,f_classif,3
2311,日月光       ,200312,124951,19.54,0.0192574774141414,1.5496,1.2205,0.023991,0.049688,0.057065,0.047857,1.0711,113.72,89.28,11.88,5.23,577.29,267.72,-27.1238,-1,2003,0.9027342853225206,2002,2003,RandomForest,f_classif,4
3012,廣輝         ,200312,52064,15.27,0.686223462984041,1.2187,1.7694,0.0067134,0.014366,0.0017664,0.02084,1.1399,148.22,128.6,7.59,4.32,-88.97,431.21,14.7348,1,2003,0.8972889767237594,2002,2003,RandomForest,f_classif,5
2614,東森         ,200312,10031,8.38,0.674776467128286,0.69428,0.40739,0.054097,0.13332,0.082591,0.083329,1.4644,107.02,63.73,4.28,7.96,356.58,145.38,5.1313,1,2003,0.8968550364239385,2002,2003,RandomForest,f_classif,6
1216,統一         ,200312,47361,8.95,0.0547917899197324,0.71772,0.48721,0.024342,0.061263,0.0040143,0.047371,1.5167,81.1,51.09,8.71,9.83,-45.46,167.22,24.1341,1,2003,0.8889646464646465,2002,2003,RandomForest,f_classif,7
1402,遠東新       ,200312,59964,10.16,0.399019969034556,0.58492,0.42996,0.022221,0.05343,0.094211,0.049321,1.4045,107.45,72.02,7.4,9.79,-4.37,25.38,67.9134,1,2003,0.876037957498164,2002,2003,RandomForest,f_classif,8
2357,華碩         ,200312,171130,174.29,0.361022049194661,5.3365,1.9969,0.094409,0.15525,0.054652,0.0581,0.64444,194.36,119.18,6.97,6.92,18.44,15.38,28.2173,1,2003,0.8704646464646463,2002,2003,RandomForest,f_classif,9
2207,和泰         ,200312,21082,26.89,0.728386824594357,1.1351,0.2242,0.05432,0.16034,0.032149,0.032835,1.9518,103.57,87.89,28.42,5.3,36.97,55.06,77.1662,1,2003,0.8694804318488529,2002,2003,RandomForest,f_classif,10
