證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用模型,特徵選擇方法
2310,旭麗         ,199812,18849,33.58,0.987982003161633,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,11.2865,1,1998,1997,1998,LogisticRegression,f_classif
2411,飛瑞         ,199812,18802,23.76,0.0377388662395521,1.5419,1.2578,0.16712,0.20377,0.18324,0.16663,0.21933,404.1,337.07,6.88,4.14,3.45,7.37,11.1953,1,1998,1997,1998,LogisticRegression,f_classif
9917,中保         ,199812,18637,21.95,0.885168008202475,1.2345,1.4614,0.11066,0.14124,0.22422,0.16893,0.2763,140.51,124.33,95.47,19.34,19.19,-14.39,64.3736,1,1998,1997,1998,LogisticRegression,f_classif
2101,南港         ,199812,17735,35.45,0.261871183870716,1.7796,1.8301,0.031794,0.091292,0.077439,0.093892,1.8713,36.68,28.99,9.13,5.54,41.45,210.03,-32.3554,-1,1998,1997,1998,LogisticRegression,f_classif
2903,遠百         ,199812,15762,9.82,0.779051723231275,0.54254,0.23073,0.023602,0.052894,0.01604,0.022495,1.2411,104.93,74.22,11.36,29.64,-26.7,-42.62,-26.2729,-1,1998,1997,1998,LogisticRegression,f_classif
2515,中工         ,199812,15526,9.08,0.715037078400694,0.58581,0.4817,-0.020957,-0.063082,-0.092558,-0.05188,2.01,164.43,45.21,1.04,2.09,-54.76,-210.97,-37.7753,-1,1998,1997,1998,LogisticRegression,f_classif
2705,六福         ,199812,15336,54.99,0.903720560556316,2.467,6.4241,0.051366,0.065377,0.22025,0.17022,0.27277,40.88,18.94,47.89,118.43,-12.17,-12.33,-64.3935,-1,1998,1997,1998,LogisticRegression,f_classif
8295,中強         ,199812,14963,26.6,0.890922504330789,2.949,0.59256,-0.16853,-0.6534,-0.021809,-0.14453,2.8771,131.94,74.28,3.0,5.54,-231.75,-1103.4,-85.3759,-1,1998,1997,1998,LogisticRegression,f_classif
2368,金像電       ,199812,14893,26.19,0.334163052737496,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,-8.0565,-1,1998,1997,1998,LogisticRegression,f_classif
1409,新纖         ,199812,14727,10.45,0.698745832334795,0.95784,1.0235,-0.027536,-0.04685,-0.037622,-0.050158,0.70144,87.75,37.9,6.8,10.22,-6.8,-328.48,-20.4785,-1,1998,1997,1998,LogisticRegression,f_classif
1717,長興         ,199812,14452,9.72,0.197809826685929,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,8.2305,-1,1998,1997,1998,LogisticRegression,f_classif
2333,碧悠         ,199812,14410,50.61,0.0305409463046367,3.4104,6.1271,0.04844,0.063822,0.098109,0.11467,0.31754,197.25,87.91,2.87,5.73,732.79,59.5,41.8494,1,1998,1997,1998,LogisticRegression,f_classif
9801,力霸         ,199812,13865,34.93,0.744074260367462,3.2223,5.1519,0.024122,0.053589,-0.012623,0.085693,1.2215,145.52,68.55,1.17,3.27,-127.65,23.33,36.1867,1,1998,1997,1998,LogisticRegression,f_classif
1907,永豐餘       ,199812,13728,6.13,0.500022435590201,0.49435,0.40731,-0.017128,-0.034159,-0.015063,-0.028173,0.99436,144.86,98.31,5.79,3.38,-135.87,-249.83,1.6313,-1,1998,1997,1998,LogisticRegression,f_classif
1462,東雲         ,199812,13667,32.12,0.47992214114606,2.9768,5.3802,-0.026544,-0.072583,-0.042316,-0.13111,1.7345,97.35,7.07,0.45,7.25,-139.63,-255.89,-12.1731,-1,1998,1997,1998,LogisticRegression,f_classif
1507,永大         ,199812,13639,18.42,0.904722238067363,1.0222,1.3923,0.069737,0.095214,0.099523,0.13151,0.36533,218.89,144.57,2.12,3.65,-30.84,0.37,-39.3594,-1,1998,1997,1998,LogisticRegression,f_classif
1304,台聚         ,199812,13602,10.25,0.609866648422558,0.77652,1.4376,0.024453,0.050602,0.055704,0.097664,1.0693,159.34,118.64,10.08,13.62,-56.47,-58.39,24.0976,1,1998,1997,1998,LogisticRegression,f_classif
5605,遠航         ,199812,13557,29.56,0.617666389588455,2.6252,3.1018,0.0099382,0.024772,-0.10264,0.032161,1.4926,157.08,136.26,0.0,33.47,-361.83,-64.47,-36.502,-1,1998,1997,1998,LogisticRegression,f_classif
1460,宏遠         ,199812,13342,18.8,0.859442305646212,1.2842,0.96164,0.092244,0.13135,0.10292,0.098325,0.4239,190.7,90.42,3.97,6.76,25.27,18.68,-54.6809,-1,1998,1997,1998,LogisticRegression,f_classif
1716,永信         ,199812,13321,31.84,0.805489424529686,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,-52.544,-1,1998,1997,1998,LogisticRegression,f_classif
2706,第一店       ,199812,13224,44.08,0.576721515614685,1.8552,17.1518,0.071956,0.10176,0.60086,0.94114,0.41416,169.93,165.34,0.0,51.57,2.42,30.26,10.5944,1,1998,1997,1998,LogisticRegression,f_classif
2005,友力         ,199812,13081,36.9,0.182922469414914,5.0757,6.8333,-0.25654,-0.5568,0.0031082,-0.7506,1.1705,66.5,54.48,11.34,3.99,49.74,-323.06,-92.5203,-1,1998,1997,1998,LogisticRegression,f_classif
