證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
2103,台橡         ,200412,8380,7.84,0.17581172827553,0.57478,0.30757,0.079745,0.12647,0.1277,0.074521,0.58593,183.67,118.48,7.62,9.66,141.5,88.67,45.1531,1,2004,1.0,2003,2004,gini,7,1
2430,燦坤         ,200412,8118,17.9,0.360370977042454,0.65281,0.08129,0.037695,0.12965,0.070397,0.022185,2.4394,112.26,42.91,4.89,17.47,120.13,-27.88,71.1173,1,2004,1.0,2003,2004,gini,7,2
2511,太子         ,200412,8560,7.17,0.9356613755166,0.6224,0.54608,0.039458,0.11049,0.092112,0.096934,1.8002,124.73,26.03,0.64,3.68,790.42,220.95,-11.2971,-1,2004,1.0,2003,2004,gini,7,3
2903,遠百         ,200412,17964,12.46,0.112615141025047,0.68162,0.1577,0.019388,0.068063,0.034181,0.019878,2.5106,42.92,32.51,25.14,62.46,34.76,1254.75,15.8106,1,2004,1.0,2003,2004,gini,7,4
2315,神達         ,200412,18709,11.3,0.578923492459094,0.64571,0.19473,0.042633,0.11309,0.027577,0.036042,1.6526,103.42,67.18,6.44,5.21,195.79,108.91,196.5487,1,2004,1.0,2003,2004,gini,7,5
2707,晶華         ,200412,8474,81.02,0.728261847822834,5.1936,6.1895,0.15593,0.20176,0.33227,0.25934,0.29395,244.91,222.91,113.92,31.03,15.79,7.41,75.3394,1,2004,1.0,2003,2004,gini,7,6
2332,友訊         ,200412,20257,23.55,0.451945709260386,1.0813,0.39113,0.10052,0.19484,0.081681,0.080661,0.93838,159.98,89.57,3.85,6.15,64.3,103.82,18.3864,1,2004,1.0,2003,2004,gini,7,7
8078,華寶         ,200412,21467,33.61,0.590483177142572,1.9405,0.79494,0.13209,0.27467,0.090636,0.11251,1.0794,168.62,127.7,8.32,4.76,-28.71,-14.31,177.2092,1,2004,1.0,2003,2004,gini,7,8
3139,D 台固       ,200412,27558,3.64,0.848709226458282,0.32852,1.957,0.03851,0.050531,0.18827,0.3026,0.31217,243.17,229.46,6.49,9.23,121.16,71.58,12.0879,-1,2004,1.0,2003,2004,gini,7,9
3260,威剛         ,200412,7351,44.41,0.645534505981322,1.4589,0.14956,0.13997,0.29867,0.056397,0.030861,1.1338,168.3,95.3,14.94,30.88,64.57,42.78,51.61,1,2004,1.0,2003,2004,gini,7,10
2402,毅嘉         ,200512,8668,24.45,0.535067105256157,1.4729,1.0852,-0.019951,-0.045743,-0.02745,-0.037433,1.2928,113.49,83.13,3.42,3.01,-115.35,-126.53,30.4294,1,2005,1.0,2004,2005,gini,10,1
2350,環電         ,200512,9601,9.33,0.432367791534398,0.67609,0.12957,0.023844,0.068095,0.019033,0.013054,1.8559,142.57,100.62,9.27,5.26,-25.05,-34.68,48.2315,1,2005,1.0,2004,2005,gini,10,2
2504,國產         ,200512,10582,7.27,0.995215981129752,0.5326,0.51966,0.037608,0.063521,0.082429,0.061985,0.68904,116.47,78.35,6.71,3.97,72.61,69.32,101.3755,1,2005,1.0,2004,2005,gini,10,3
2342,茂矽         ,200512,9240,14.5,0.99424301064405,1.063,0.61571,0.040988,0.06542,0.0011631,0.040034,0.5961,90.11,49.32,14.0,13.38,14473.16,-76.88,305.1034,1,2005,1.0,2004,2005,gini,10,4
1907,永豐餘       ,200512,17547,9.12,0.911647424007853,0.66911,0.37593,0.027168,0.062211,0.024927,0.038749,1.2899,114.39,80.5,7.92,4.8,-41.6,-32.81,31.1404,1,2005,1.0,2004,2005,gini,10,5
6605,帝寶         ,200512,17688,91.34,0.850357337374621,2.5344,1.7767,0.17057,0.28715,0.25668,0.20267,0.6835,133.51,78.51,4.1,6.32,5.8,11.77,-16.6192,-1,2005,1.0,2004,2005,gini,10,6
9904,寶成         ,200512,49574,13.42,0.435040717895627,0.85152,0.19025,0.027829,0.061591,0.064813,0.028036,1.2132,134.02,85.53,7.48,7.75,-0.35,-0.83,92.1759,1,2005,1.0,2004,2005,gini,10,7
3231,緯創         ,200512,49134,24.21,0.0915131672126108,1.1085,0.16849,0.048891,0.12623,0.023081,0.019316,1.5819,123.07,65.91,10.77,14.31,533.61,435.62,28.4593,1,2005,1.0,2004,2005,gini,10,8
2328,廣宇         ,200512,19599,38.88,0.524637345396311,2.2409,1.2815,0.066576,0.10476,0.078215,0.065215,0.57361,193.85,177.07,19.86,3.62,14.22,11.39,118.3642,1,2005,1.0,2004,2005,gini,10,9
3380,明泰         ,200512,10608,23.23,0.758766265080204,1.3705,0.37061,0.11802,0.21329,0.073717,0.057666,0.80721,171.96,118.81,8.58,5.48,37.1,45.03,-1.1623,-1,2005,1.0,2004,2005,gini,10,10
1451,年興         ,200612,11757,15.27,0.367285915131369,0.74963,0.61897,0.083979,0.11465,0.042665,0.09467,0.36527,212.83,93.94,4.07,10.09,61.05,2.89,7.5311,-1,2006,1.0,2005,2006,gini,10,1
1402,遠東新       ,200612,123970,23.67,0.311109639604002,1.2517,0.73418,0.033273,0.064965,0.10653,0.059455,0.95249,106.06,67.47,6.57,8.14,-23.14,-6.49,42.7968,1,2006,1.0,2005,2006,gini,10,2
2324,仁寶         ,200612,110722,21.83,0.181980467169022,1.1532,0.21482,0.043806,0.11307,0.041544,0.022886,1.581,132.98,108.57,14.64,6.43,29.14,13.61,29.6381,1,2006,1.0,2005,2006,gini,10,3
1216,統一         ,200612,109009,22.89,0.092988926870678,1.6468,0.29797,0.015186,0.048874,0.029389,0.013999,2.2184,76.65,44.18,8.81,20.43,-5.19,61.27,45.8279,1,2006,1.0,2005,2006,gini,10,4
1710,東聯         ,200612,16801,16.41,0.523029798441993,0.99455,1.1605,0.10276,0.11683,0.15732,0.13635,0.13689,344.01,288.51,14.22,10.2,-35.93,-34.13,93.6015,1,2006,1.0,2005,2006,gini,10,5
1101,台泥         ,200612,92520,23.78,0.91502591173579,1.1143,1.1505,0.042626,0.088723,0.15449,0.1059,1.0814,218.75,170.74,10.74,8.12,-2.89,17.86,61.5643,1,2006,1.0,2005,2006,gini,10,6
9904,寶成         ,200612,90379,25.79,0.642741739133104,1.6009,0.31636,0.034302,0.075165,0.065291,0.030785,1.1913,157.16,107.83,8.31,7.67,25.25,25.69,-11.6324,-1,2006,1.0,2005,2006,gini,10,7
