證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數
2315,神達         ,199812,30500,17.4,0.507858284661118,1.029,0.094699,0.060287,0.15504,0.024647,0.016812,1.5717,140.01,67.83,9.57,13.62,417.13,225.11,22.0115,1,1998,0.0772955440571474,1.029,0.094699,0.060287,0.15504,0.024647,0.016812,1.5717,140.01,67.83,9.57,13.62,417.13,225.11,0.0641965,103.91999999999999,11.594999999999999,321.12,0.5618495,-18.653588227587463,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1449,佳和         ,199812,10106,53.18,0.083469814858914,4.041,5.0599,0.071974,0.088368,0.16034,0.11064,0.22778,138.94,38.03,3.25,20.78,64.99,10.2,-32.437,-1,1998,5.213724979046572,4.041,5.0599,0.071974,0.088368,0.16034,0.11064,0.22778,138.94,38.03,3.25,20.78,64.99,10.2,0.10783050000000001,88.485,12.015,37.595,4.55045,-18.660563627225073,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1451,年興         ,199812,19125,21.68,0.367436648544477,1.3399,1.3092,0.11926,0.16976,0.23214,0.17971,0.42342,222.14,102.35,3.4,10.01,50.68,24.41,0.1845,-1,1998,0.8881605535370523,1.3399,1.3092,0.11926,0.16976,0.23214,0.17971,0.42342,222.14,102.35,3.4,10.01,50.68,24.41,0.17521750000000003,162.245,6.705,37.545,1.32455,-18.80309971935823,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2523,德寶         ,199812,9641,13.39,0.526875830508296,1.0372,0.78997,0.07328,0.12145,0.086671,0.092532,0.65729,182.86,91.25,8.71,4.25,35.45,3.57,-45.183,-1,1998,3.750699229496014,1.0372,0.78997,0.07328,0.12145,0.086671,0.092532,0.65729,182.86,91.25,8.71,4.25,35.45,3.57,0.09348325,137.055,6.48,19.51,0.9135849999999999,-18.999856348711198,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
9908,大台北       ,199812,7480,8.71,0.460725937260412,0.65195,1.4468,0.053517,0.08485,-0.012746,0.18828,0.58549,289.86,243.97,12.04,8.31,-163.3,60.99,-22.3881,-1,1998,0.14281029442842608,0.65195,1.4468,0.053517,0.08485,-0.012746,0.18828,0.58549,289.86,243.97,12.04,8.31,-163.3,60.99,0.07847525,266.915,10.175,-51.155,1.049375,-19.00907205889516,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1305,華夏         ,199912,9770,22.42,0.525404403859336,1.6682,1.0969,0.016448,0.035105,0.038838,0.024333,1.1343,186.06,104.1,5.57,5.42,8.89,252.56,-85.281,-1,1999,0.0887709847609638,1.6682,1.0969,0.016448,0.035105,0.038838,0.024333,1.1343,186.06,104.1,5.57,5.42,8.89,252.56,0.028680999999999998,145.07999999999998,5.495,130.725,1.38255,70.62689913622366,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2340,光磊         ,199912,11971,39.7,0.939829470344921,2.0742,3.0728,0.041889,0.054552,0.0984,0.080775,0.30232,329.1,242.69,2.54,2.79,-21.01,-47.37,-59.8237,-1,1999,-0.8380831926975553,2.0742,3.0728,0.041889,0.054552,0.0984,0.080775,0.30232,329.1,242.69,2.54,2.79,-21.01,-47.37,0.06890399999999999,285.895,2.665,-34.19,2.5735,62.80486186326557,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2356,英業達       ,199912,95190,20.56,0.0908232857874395,1.3137,0.36178,0.080304,0.17186,0.040371,0.048816,1.14,155.11,92.13,7.16,5.34,-22.53,-7.55,-57.2471,-1,1999,-2.7231791686330022,1.3137,0.36178,0.080304,0.17186,0.040371,0.048816,1.14,155.11,92.13,7.16,5.34,-22.53,-7.55,0.08533774999999999,123.62,6.25,-15.040000000000001,0.83774,48.63946699719166,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2321,東訊         ,199912,13292,38.26,0.662009598359135,2.1976,0.85326,0.070879,0.11731,0.019928,0.048275,0.65511,180.27,114.79,6.15,5.47,-22.9,17.72,-59.0173,-1,1999,2.1591420903418683,2.1976,0.85326,0.070879,0.11731,0.019928,0.048275,0.65511,180.27,114.79,6.15,5.47,-22.9,17.72,0.064098,147.53,5.8100000000000005,-2.59,1.52543,48.61219093961655,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2010,春源         ,199912,6407,5.09,0.748705718215691,0.33911,0.23115,0.034932,0.059068,0.033347,0.040261,0.69095,178.8,109.99,3.97,3.85,45.68,134.03,-30.0589,1,1999,0.03797657212581831,0.33911,0.23115,0.034932,0.059068,0.033347,0.040261,0.69095,178.8,109.99,3.97,3.85,45.68,134.03,0.041901999999999995,144.395,3.91,89.855,0.28513,40.462570750193834,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
5371,中光電       ,199912,7569,12.31,0.424309496833137,0.49517,0.16912,0.034732,0.069933,0.050971,0.023881,1.0135,184.43,76.92,4.24,7.26,58.67,-10.03,-61.251,-1,1999,-1.2273181682271355,0.49517,0.16912,0.034732,0.069933,0.050971,0.023881,1.0135,184.43,76.92,4.24,7.26,58.67,-10.03,0.044879249999999996,130.675,5.75,24.32,0.332145,37.96733327883895,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2489,瑞軒         ,199912,6601,11.44,0.514423456505704,0.54167,0.19596,0.072816,0.11458,0.03817,0.041451,0.57352,240.39,189.49,14.39,5.6,-22.2,18.82,-50.4371,-1,1999,0.6078639421963898,0.54167,0.19596,0.072816,0.11458,0.03817,0.041451,0.57352,240.39,189.49,14.39,5.6,-22.2,18.82,0.06675425,214.94,9.995000000000001,-1.6899999999999995,0.368815,37.38580735500531,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2394,普立爾       ,199912,15172,27.45,0.635786710514084,1.6006,0.56331,0.1415,0.23299,0.10456,0.084064,0.64653,167.67,112.42,9.1,15.77,0.81,4.49,-43.5337,1,1999,6.113584384502364,1.6006,0.56331,0.1415,0.23299,0.10456,0.084064,0.64653,167.67,112.42,9.1,15.77,0.81,4.49,0.1407785,140.045,12.434999999999999,2.6500000000000004,1.081955,33.45903744279151,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
2355,敬鵬         ,199912,8973,15.43,0.741257943454207,0.57297,0.58204,0.059324,0.089188,0.074025,0.090592,0.50339,194.62,170.31,13.77,4.24,-2.03,-3.33,-57.3558,-1,1999,-4.633635025115623,0.57297,0.58204,0.059324,0.089188,0.074025,0.090592,0.50339,194.62,170.31,13.77,4.24,-2.03,-3.33,0.07828225,182.465,9.004999999999999,-2.6799999999999997,0.5775049999999999,32.76065945634562,1998,1999,428.0341319952025,6.011506572137833,0.013536925162006778
