證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
1227,佳格         ,199812,11416,18.13,0.521649842464284,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,-47.1594,-1,1998,0.7082030973358164,1.2643,0.7924,0.13296,0.18266,0.1301,0.11448,0.37377,234.08,136.96,4.65,7.42,10.23,25.6,0.14005,185.52,6.035,17.915,1.02835,-12.545634888770891,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,21
2356,英業達       ,199812,109491,23.67,0.875942811492984,1.3754,0.40747,0.11301,0.22328,0.067941,0.068796,0.97568,169.04,123.14,8.61,5.81,4.3,-12.57,-13.139,-1,1998,-1.8830550424069246,1.3754,0.40747,0.11301,0.22328,0.067941,0.068796,0.97568,169.04,123.14,8.61,5.81,4.3,-12.57,0.11825675,146.09,7.209999999999999,-4.135,0.891435,-13.223913519270031,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,22
1716,永信         ,199812,13321,31.84,0.805489424529686,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,-52.544,-1,1998,6.230918545808503,1.557,2.0088,0.079881,0.10421,0.1952,0.13752,0.30453,230.3,144.93,1.3,3.08,35.43,5.11,0.12920275,187.615,2.19,20.27,1.7829,-13.317884744986767,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,23
2353,宏碁         ,199812,8476,13.87,0.547870901214845,0.63947,0.095491,0.04269,0.091936,0.014217,0.015277,1.1536,153.16,110.01,13.27,6.95,-16.44,-2.21,270.2235,1,1998,-6.276020939375991,0.63947,0.095491,0.04269,0.091936,0.014217,0.015277,1.1536,153.16,110.01,13.27,6.95,-16.44,-2.21,0.041030000000000004,131.585,10.11,-9.325000000000001,0.3674805,-13.78362221798035,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,24
2363,矽統         ,199812,21610,40.61,0.546805718738968,2.9642,2.3232,0.16625,0.21422,0.13718,0.16797,0.28852,292.96,261.76,11.49,5.0,1170.63,251.78,154.6171,1,1998,0.16129160314047342,2.9642,2.3232,0.16625,0.21422,0.13718,0.16797,0.28852,292.96,261.76,11.49,5.0,1170.63,251.78,0.17140499999999997,277.36,8.245000000000001,711.205,2.6437,-15.476804431729628,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,25
2321,東訊         ,199812,7369,22.22,0.156404952226563,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,72.1872,1,1998,0.4183769456151959,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,0.0770745,121.235,5.66,77.215,0.98161,-15.548430947343899,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,26
1717,長興         ,199812,14452,9.72,0.197809826685929,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,8.2305,-1,1998,4.016527265897824,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,0.09256,112.47500000000001,5.035,7.51,0.40071,-15.847571135795741,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,27
2204,中華         ,199812,59242,28.19,0.225921780972399,1.129,0.52672,0.12332,0.1799,0.066857,0.083949,0.45883,251.57,83.95,5.29,27.93,2.68,28.35,-41.7879,-1,1998,0.9943562259486339,1.129,0.52672,0.12332,0.1799,0.066857,0.083949,0.45883,251.57,83.95,5.29,27.93,2.68,28.35,0.1135065,167.76,16.61,15.515,0.82786,-16.607423841984904,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,28
2386,國電         ,199812,7165,21.82,0.120611613297162,1.3502,0.41069,0.15452,0.2746,0.082267,0.08352,0.77713,175.05,129.31,12.43,6.16,151.71,84.4,240.1467,1,1998,0.2585308026240426,1.3502,0.41069,0.15452,0.2746,0.082267,0.08352,0.77713,175.05,129.31,12.43,6.16,151.71,84.4,0.14872675000000002,152.18,9.295,118.055,0.880445,-16.73450385190584,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,29
1520,D 復盛       ,199812,11971,11.86,0.0424311375007417,0.76665,0.41252,0.088939,0.23287,0.14902,0.14058,1.6183,82.23,36.46,2.4,7.63,38.47,5.38,-24.7892,-1,1998,2.204460556791718,0.76665,0.41252,0.088939,0.23287,0.14902,0.14058,1.6183,82.23,36.46,2.4,7.63,38.47,5.38,0.15285225000000002,59.345,5.015,21.925,0.589585,-16.74879693566244,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,30
